JPS time, A* time, JPS jump points, A* visited nodes, A* path found, JPS path found, A* shortest path length, JPS shortest path length
4.6585,32.4048,6961,26462,True,True,1288.8,1288.8
5.5461,43.9268,8330,31332,True,True,1766.4,1766.4
0.465,27.7856,743,2803,True,True,629.2,629.2
16.1344,45.6118,21176,80106,True,True,1755.3,1755.3
21.9655,54.4131,27122,101643,True,True,2128.8,2128.8
16.0485,43.9062,21745,81171,True,True,2144.4,2144.4
9.9304,28.6389,11866,45265,True,True,1591.4,1591.4
2.4473,15.0109,4017,15097,True,True,1201.7,1201.7
9.1892,29.8841,12539,47261,True,True,1436.7,1436.7
10.7208,31.6617,14738,55705,True,True,2163,2163
22.1673,57.4165,30067,111867,True,True,3238,3238
1.2178,10.9338,1895,7245,True,True,544.6,544.6
7.4374,22.7318,10029,37008,True,True,1529,1529
6.4643,24.0137,9768,36920,True,True,1945.1,1945.1
24.603,60.8327,30654,113933,True,True,2827,2827
25.0228,62.9563,32021,119016,True,True,2495.6,2495.6
1.7696,11.8146,2990,11041,True,True,2051.1,2051.1
3.1282,18.126,4544,17317,True,True,661.7,661.7
10.8292,33.1973,13882,52038,True,True,1421.6,1421.6
22.5256,55.0527,28282,105264,True,True,2613,2613
10.1916,31.1644,13896,52517,True,True,1257.8,1257.8
3.3907,15.6311,5189,19649,True,True,1222,1222
13.3351,36.4887,17248,65204,True,True,1640.8,1640.8
14.0019,38.9983,18695,69931,True,True,2077,2077
10.2819,30.4364,13931,52106,True,True,2377,2377
1.0456,10.3796,1599,6020,True,True,1034.9,1034.9
22.7733,58.1891,29158,108482,True,True,2658.8,2658.8
0.3033,9.5321,477,1772,True,True,246.9,246.9
25.5152,62.8268,31953,118802,True,True,2494.9,2494.9
1.066,9.5677,1716,6373,True,True,612,612
22.204,57.3944,28347,106106,True,True,3353.8,3353.8
12.3779,34.4201,16613,62467,True,True,1598.9,1598.9
1.2895,10.4437,1963,7617,True,True,419.8,419.8
23.3612,44.313,18890,71442,True,True,1936.6,1936.6
28.2353,65.5082,34455,128320,True,True,3201.4,3201.4
4.89,16.8229,7006,26467,True,True,1532.5,1532.5
3.6917,15.6376,5378,20298,True,True,925.9,925.9
4.1655,18.4611,6440,24356,True,True,1671.6,1671.6
0.8848,10.9561,1526,5771,True,True,714.8,714.8
1.6156,11.6485,2567,9705,True,True,893.1,893.1
11.6327,35.51,15660,59309,True,True,2889.1,2889.1
0.506,12.3899,850,2999,True,True,308.2,308.2
21.5903,56.6711,27307,102000,True,True,2398.8,2398.8
5.9984,23.2509,8709,33113,True,True,1323.5,1323.5
2.0448,14.5554,3611,13391,True,True,1987.3,1987.3
3.3772,15.8198,5265,19650,True,True,1221.7,1221.7
18.1442,49.1921,23434,87864,True,True,2712.6,2712.6
18.4618,49.2769,24031,89811,True,True,2078.1,2078.1
11.8524,32.1309,14512,54593,True,True,3601.3,3601.3
1.8409,12.305,2804,10668,True,True,638.5,638.5
4.7897,19.012,6943,26011,True,True,1207.5,1207.5
4.1739,16.1941,6173,23320,True,True,1764.2,1764.2
2.9551,14.0549,4494,16768,True,True,1165,1165
3.2359,15.059,4782,17745,True,True,1332.4,1332.4
25.8525,66.283,33207,123519,True,True,3763.5,3763.5
3.9498,17.6826,5826,21843,True,True,1218.8,1218.8
11.1003,31.8814,13925,52719,True,True,1529.9,1529.9
11.8556,35.7006,16278,61596,True,True,1996.8,1996.8
14.4171,41.4697,19112,72569,True,True,3358.1,3358.1
9.2354,30.1703,13133,49691,True,True,1622.7,1622.7
16.5758,44.8794,21285,80468,True,True,1606,1606
9.8204,30.063,12945,48586,True,True,2694.7,2694.7
1.8663,11.9355,2930,11121,True,True,844.5,844.5
18.5096,47.3815,23788,88605,True,True,2769.7,2769.7
6.0126,17.0471,4960,18592,True,True,924.5,924.5
8.8885,29.395,12427,47095,True,True,1502.3,1502.3
2.0271,13.9442,3055,11736,True,True,633,633
13.3688,38.0056,17281,65390,True,True,1816.6,1816.6
21.6402,55.6604,29054,108067,True,True,2933.4,2933.4
8.1436,27.0749,11713,43865,True,True,2791.5,2791.5
12.9053,36.6184,16296,61733,True,True,2481.8,2481.8
8.218,27.3458,11295,42332,True,True,3133.2,3133.2
0.8999,10.3586,1417,5314,True,True,517,517
24.4433,59.579,29465,109467,True,True,2239.5,2239.5
6.0762,22.1079,9140,34141,True,True,1973.2,1973.2
0.4737,8.7224,668,2511,True,True,263.8,263.8
0.0867,10.517,114,434,True,True,115.2,115.2
20.6373,72.0318,25809,96473,True,True,2675.3,2675.3
16.9291,63.6309,21479,80451,True,True,2302.6,2302.6
8.0053,49.7611,11055,41316,True,True,2075.2,2075.2
3.4032,36.8729,5331,19738,True,True,1682.6,1682.6
1.5499,35.9413,2362,8997,True,True,567.3,567.3
0.0839,9.5172,109,369,True,True,85,85
14.7814,41.1706,18750,70560,True,True,3160.6,3160.6
0.9136,9.1974,1390,5141,True,True,412.7,412.7
5.028,20.1296,6953,26474,True,True,1322,1322
4.4922,17.5156,6328,24162,True,True,961.3,961.3
8.3473,23.1869,9301,35012,True,True,1663.5,1663.5
3.5617,16.3463,4953,18857,True,True,1261.2,1261.2
4.9889,20.8764,6577,24873,True,True,1311.4,1311.4
26.8781,63.9166,32283,120624,True,True,2483,2483
16.9187,44.4671,21109,79893,True,True,1617.9,1617.9
15.8352,42.2735,19680,74185,True,True,1472.6,1472.6
0.8531,10.6985,1295,4764,True,True,514.3,514.3
23.372,57.9441,29467,109442,True,True,2629.7,2629.7
20.1538,52.038,24721,92969,True,True,2200.6,2200.6
20.0167,50.4135,25423,95248,True,True,1813.2,1813.2
6.8747,22.3301,9806,36820,True,True,1616.2,1616.2
7.4095,25.9436,10762,41284,True,True,1661.9,1661.9
10.1922,31.8283,14411,54411,True,True,3186.5,3186.5
