JPS time, Dijkstra time, JPS jump points, Dijkstra visited nodes, Dijkstra path found, JPS path found
34.4069,697.3696,443,693397,True,True
4.5472,243.3823,13,258245,True,True
27.4372,444.9239,88,510596,True,True
15.036,311.347,8,391947,True,True
17.6476,441.6506,138,588561,True,True
6.5235,165.7713,173,188896,True,True
3.8373,233.4986,22,283585,True,True
16.9726,303.1245,46,397545,True,True
25.0138,342.0776,171,443110,True,True
15.6621,316.0579,7,390568,True,True
15.0015,201.4663,10,182896,True,True
12.9885,133.8437,6,102242,True,True
30.3463,445.6032,115,609892,True,True
23.6609,446.1289,56,594239,True,True
30.1771,415.2781,147,572641,True,True
2.6818,138.8447,63,118263,True,True
23.0995,393.1692,76,496111,True,True
17.0107,306.8625,6,389898,True,True
1.2165,63.7395,93,17930,False,False
24.143,477.9157,387,667858,True,True
10.5291,141.3872,46,124598,True,True
225.9071,561.7334,3727,757334,False,False
15.9151,483.9323,63,679516,True,True
18.0798,411.7499,11,540875,True,True
4.0955,168.169,26,141766,True,True
18.3477,368.4163,241,432064,True,True
2.7311,206.9773,5,219583,True,True
6.9614,154.4473,65,153190,True,True
18.2126,300.1926,9,384292,True,True
1.0495,167.8239,13,153291,True,True
4.2513,101.9286,2,61644,True,True
19.8097,288.1195,17,345137,True,True
0.9025,63.3316,19,23028,True,True
19.7195,213.0351,172,246077,True,True
11.7032,381.5966,32,483987,True,True
52.5355,505.8023,2106,729869,True,True
160.6647,532.2467,3627,757334,False,False
1.8361,127.3627,137,120582,True,True
14.217,330.5544,24,396265,True,True
21.8308,522.1941,169,707917,True,True
4.2499,249.0725,97,288119,True,True
18.2184,481.7698,177,670366,True,True
18.4516,249.7077,37,318037,True,True
18.8765,345.3175,407,459322,True,True
23.682,475.5126,34,645993,True,True
17.9105,275.5825,80,338428,True,True
14.0361,453.0536,144,624664,True,True
30.5632,343.5653,232,463685,True,True
17.6528,332.3046,74,449029,True,True
7.4615,136.9132,92,138668,True,True
1.2161,84.7359,93,17930,False,False
16.6156,367.9549,212,489278,True,True
139.6816,536.9971,3708,757334,False,False
24.8031,464.5541,543,628701,True,True
22.2973,247.2822,12,305677,True,True
4.617,436.6376,120,589989,True,True
81.7786,542.7599,1523,755907,True,True
9.2093,379.0273,149,505907,True,True
3.2185,52.5407,3,1031,True,True
36.3546,465.9451,461,668405,True,True
16.0002,173.186,11,208102,True,True
13.1186,237.0413,6,258592,True,True
19.375,215.109,13,226038,True,True
23.1008,465.7839,267,651167,True,True
29.2977,345.6214,77,466018,True,True
27.3946,446.3462,30,602559,True,True
6.2355,257.1785,294,321094,True,True
7.5754,114.355,4,68524,True,True
17.0625,370.2694,27,451980,True,True
26.6165,346.8275,40,481071,True,True
105.6932,516.8993,1757,736366,True,True
10.6889,182.3296,7,161079,True,True
23.9002,478.9558,952,636642,True,True
19.6042,355.9315,33,457112,True,True
9.538,141.4607,4,145457,True,True
11.2248,267.89,127,291585,True,True
15.2024,447.0828,312,627930,True,True
46.7798,422.5489,471,598060,True,True
7.4457,105.3511,8,75602,True,True
3.9112,222.7381,100,224507,True,True
82.1489,526.8219,2127,745511,True,True
12.3498,311.7789,10,425807,True,True
12.3058,262.3315,47,325728,True,True
58.5607,523.1697,1019,727168,True,True
15.9005,434.493,441,607310,True,True
56.7522,530.5545,321,723263,True,True
8.3705,156.6124,27,162469,True,True
0.9596,58.1816,8,9725,True,True
13.9872,322.6309,61,429507,True,True
12.655,502.2663,186,714360,True,True
9.0767,194.8947,7,216222,True,True
7.3006,248.6967,315,291878,True,True
9.0101,254.8018,8,296416,True,True
22.7197,423.19,133,562531,True,True
144.4739,554.247,3655,757334,False,False
11.7033,166.845,118,173716,True,True
1.2812,91.4369,4,49597,True,True
5.1514,429.4162,163,565493,True,True
26.5644,445.5211,29,613835,True,True
32.8508,433.298,971,609847,True,True
