JPS time, Dijkstra time, JPS jump points, Dijkstra visited nodes, Dijkstra path found, JPS path found, Dijkstra shortest path length, JPS shortest path length
4.6585,59.4317,6961,40503,True,True,1288.8,1288.8
5.5461,63.036,8330,47454,True,True,1766.4,1766.4
0.465,10.0825,743,3332,True,True,629.2,629.2
16.1344,65.8078,21176,92909,True,True,1755.3,1755.3
21.9655,67.4576,27122,112836,True,True,2128.8,2128.8
16.0485,63.9989,21745,92237,True,True,2144.4,2144.4
9.9304,47.5919,11866,66676,True,True,1591.4,1591.4
2.4473,29.3279,4017,17213,True,True,1201.7,1201.7
9.1892,46.8564,12539,69776,True,True,1436.7,1436.7
10.7208,65.7787,14738,81969,True,True,2163,2163
22.1673,75.0097,30067,119051,True,True,3238,3238
1.2178,25.5479,1895,10228,True,True,544.6,544.6
7.4374,47.5325,10029,51447,True,True,1529,1529
6.4643,43.7913,9768,49357,True,True,1945.1,1945.1
24.603,72.2205,30654,118808,True,True,2827,2827
25.0228,78.8554,32021,125587,True,True,2495.6,2495.6
1.7696,30.362,2990,12820,True,True,2051.1,2051.1
3.1282,36.099,4544,33678,True,True,661.7,661.7
10.8292,46.5355,13882,65082,True,True,1421.6,1421.6
22.5256,63.5664,28282,110242,True,True,2613,2613
10.1916,57.76,13896,76066,True,True,1257.8,1257.8
3.3907,44.9525,5189,37284,True,True,1222,1222
13.3351,57.938,17248,83614,True,True,1640.8,1640.8
14.0019,67.7321,18695,81042,True,True,2077,2077
10.2819,50.0168,13931,73734,True,True,2377,2377
1.0456,22.808,1599,7451,True,True,1034.9,1034.9
22.7733,76.3314,29158,115031,True,True,2658.8,2658.8
0.3033,10.0358,477,2581,True,True,246.9,246.9
25.5152,78.6967,31953,123728,True,True,2494.9,2494.9
1.066,28.0306,1716,11006,True,True,612,612
22.204,75.1348,28347,119460,True,True,3353.8,3353.8
12.3779,58.5533,16613,85683,True,True,1598.9,1598.9
1.2895,30.0147,1963,16658,True,True,419.8,419.8
23.3612,58.8551,18890,88647,True,True,1936.6,1936.6
28.2353,81.2819,34455,129875,True,True,3201.4,3201.4
4.89,45.2817,7006,34300,True,True,1532.5,1532.5
3.6917,37.6354,5378,29151,True,True,925.9,925.9
4.1655,34.9007,6440,27248,True,True,1671.6,1671.6
0.8848,22.7959,1526,6776,True,True,714.8,714.8
1.6156,29.0193,2567,11547,True,True,893.1,893.1
11.6327,61.5617,15660,89054,True,True,2889.1,2889.1
0.506,11.9696,850,3783,True,True,308.2,308.2
21.5903,53.1447,27307,108521,True,True,2398.8,2398.8
5.9984,52.7199,8709,47067,True,True,1323.5,1323.5
